Player,Date,Opponent,Event,Result,Stats Type,Striking-SSL,Striking-SSA,Striking-KD,Striking-%HEAD,Striking-%BODY,Striking-%LEG,Clinch-TDL,Clinch-TDA,Ground-SGBL,Ground-SGBA,Ground-ADHG
Israel Adesanya,"Feb 1, 2025",Nassourdine Imavov,UFC Fight Night,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Aug 17, 2024",Dricus Du Plessis,UFC 305,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Sep 9, 2023",Sean Strickland,UFC 293,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Apr 8, 2023",Alex Pereira,UFC 287,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Nov 12, 2022",Alex Pereira,UFC 281,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jul 2, 2022",Jared Cannonier,UFC 276,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Feb 12, 2022",Robert Whittaker,UFC 271,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jun 12, 2021",Marvin Vettori,UFC 263,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Mar 6, 2021",Jan Blachowicz,UFC 259,L,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Sep 26, 2020",Paulo Costa,UFC 253,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Mar 7, 2020",Yoel Romero,UFC 248,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Oct 5, 2019",Robert Whittaker,UFC 243,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Apr 13, 2019",Kelvin Gastelum,UFC 236,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Feb 9, 2019",Anderson Silva,UFC 234,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Nov 3, 2018",Derek Brunson,UFC 230,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jul 6, 2018",Brad Tavares,The Ultimate Fighter 27 Finale,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Apr 14, 2018",Marvin Vettori,UFC Fight Night,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Feb 10, 2018",Rob Wilkinson,UFC 221,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Nov 24, 2017",Stuart Dare,Hex Fight Series 12,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jul 28, 2017",Melvin Guillard,AFC 20,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"May 28, 2016",Murad Kuramagomedov,WLF,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"May 7, 2016",Andrew Flores Smith,Wu Lin Feng,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Mar 13, 2016",Dibir Zagirov,WLF,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jan 13, 2016",Vladimir Katykhin,WLF,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Sep 19, 2015",Gele Qing,WLF,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Sep 5, 2015",Maui Tuigamala,FPF,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Aug 8, 2015",Song Kenan,WFC,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Jun 15, 2013",John Vake,Shuriken MMA,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
Israel Adesanya,"Mar 24, 2012",James Griffiths,SFC 9,W,Defensive,0,0,0,0,0,0,0,0,0,0,0
