Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
Robert Whittaker,Middleweight,10-2-0,,,73.5\,Orthodox,12/20/1990 (34),Gracie Jiu-Jitsu Smeaton Grange,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events | Corey Nelson W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events | Corey Nelson W Top Events | Ben Alloway W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events | Corey Nelson W Top Events | Ben Alloway W Top Events | Nate Thomson W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events | Corey Nelson W Top Events | Ben Alloway W Top Events | Nate Thomson W Top Events | Jay Cobain W Top Events,Xavier Lucas W Top Events | Jesse Juarez L Top Events | Shaun Spooner W Top Events | Ian Bone W Top Events | Hoon Kim L Top Events | Corey Nelson W Top Events | Ben Alloway W Top Events | Nate Thomson W Top Events | Jay Cobain W Top Events | Nick Ariel W Top Events,,0.0,0.0,,,,0.0,0.0,,,,,0.0,05:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012-12-06T03:00:00.000+00:00,Xavier Lucas,W,Top Events,5.0,5:00
Reinier de Ridder,Middleweight,17-2-0,,,78\,Southpaw,9/7/1990 (34),Combat Brothers,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events | Aung La N Sang W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events | Aung La N Sang W Top Events | Aung La N Sang W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events | Aung La N Sang W Top Events | Aung La N Sang W Top Events | Leandro Ataides W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events | Aung La N Sang W Top Events | Aung La N Sang W Top Events | Leandro Ataides W Top Events | Gilberto Galvão W Top Events,Magomedmurad Khasaev W Top Events | Anatoly Malykhin L Top Events | Anatoly Malykhin L Top Events | Vitaly Bigdash W Top Events | Kiamrian Abbasov W Top Events | Aung La N Sang W Top Events | Aung La N Sang W Top Events | Leandro Ataides W Top Events | Gilberto Galvão W Top Events | Rong Fan W Top Events,,0.0,0.0,,,,0.0,0.0,,,,,0.0,05:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-07-27T14:00:00.000+00:00,Magomedmurad Khasaev,W,Top Events,5.0,5:00
Nikita Krylov,Light Heavyweight,19-2-0,,,77.5\,Orthodox,3/7/1992 (33),Raty Team,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events | Vladimir Mishchenko L Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events | Vladimir Mishchenko L Top Events | Julian Bogdanov W Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events | Vladimir Mishchenko L Top Events | Julian Bogdanov W Top Events | Kilichbek Sarkarboev W Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events | Vladimir Mishchenko L Top Events | Julian Bogdanov W Top Events | Kilichbek Sarkarboev W Top Events | Vladimir Mishchenko L Top Events,Fabio Maldonado W Top Events | Emanuel Newton W Top Events | Maro Perak W Top Events | Stjepan Bekavac W Top Events | Gabriel Tampu W Top Events | Vladimir Mishchenko L Top Events | Julian Bogdanov W Top Events | Kilichbek Sarkarboev W Top Events | Vladimir Mishchenko L Top Events | Denis Simkin W Top Events,,0.0,0.0,,,,0.0,0.0,,,,,0.0,04:18,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2018-05-19T16:00:00.000+00:00,Fabio Maldonado,W,Top Events,1.0,4:18
Bogdan Guskov,Light Heavyweight,14-2-0,,,76\,Orthodox,9/12/1992 (32),GOR MMA,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events | Nurlan Toktobakiev W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events | Nurlan Toktobakiev W Top Events | Sergey Kalinin W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events | Nurlan Toktobakiev W Top Events | Sergey Kalinin W Top Events | Konstantin Andreitsev W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events | Nurlan Toktobakiev W Top Events | Sergey Kalinin W Top Events | Konstantin Andreitsev W Top Events | Alikhan Magomedov W Top Events,Carlos Eduardo W Top Events | Alireza Vafaei W Top Events | Abdul Elwahab Saeed W Top Events | Vadim Litvin W Top Events | Vyacheslav Vasilevsky L Top Events | Nurlan Toktobakiev W Top Events | Sergey Kalinin W Top Events | Konstantin Andreitsev W Top Events | Alikhan Magomedov W Top Events | Taro Blaglo W Top Events,,0.0,0.0,,,,0.0,0.0,,,,,0.0,04:18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2023-03-18T16:00:00.000+00:00,Carlos Eduardo,W,Top Events,1.0,4:18
Shara Magomedov,Middleweight,11-0-0,,,73\,Orthodox,5/16/1994 (31),GOR MMA,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events | Mikhail Allakhverdian W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events | Mikhail Allakhverdian W Top Events | Yakub Kediev W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events | Mikhail Allakhverdian W Top Events | Yakub Kediev W Top Events | Wulan Muhemaitihali W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events | Mikhail Allakhverdian W Top Events | Yakub Kediev W Top Events | Wulan Muhemaitihali W Top Events | Yeshan Yersen W Top Events,Kushal Vyas W Top Events | Mikhail Ragozin W Top Events | Sergey Martynov W Top Events | Rodrigo Carlos W Top Events | Joel dos Santos W Top Events | Mikhail Allakhverdian W Top Events | Yakub Kediev W Top Events | Wulan Muhemaitihali W Top Events | Yeshan Yersen W Top Events | Jiayidaer Aili W Top Events,,0.0,0.0,,,,0.0,0.0,,,,,0.0,05:00,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2022-12-11T17:00:00.000+00:00,Kushal Vyas,W,Top Events,3.0,5:00
Marc-André Barriault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Yan,Bantamweight,8-1-0,,,67\,Switch,2/11/1993 (32),BK Arkhangel Mikhail,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events | Murad Kalamov W Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events | Murad Kalamov W Top Events | Haron Orzumiev W Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events | Murad Kalamov W Top Events | Haron Orzumiev W Top Events | Renato Velame W Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events | Murad Kalamov W Top Events | Haron Orzumiev W Top Events | Renato Velame W Top Events | Artur Mirzakhanyan W Top Events,Matheus Mattos W Top Events | Magomed Magomedov W Top Events | Ed Arthur W Top Events | Magomed Magomedov L Top Events | Murad Kalamov W Top Events | Haron Orzumiev W Top Events | Renato Velame W Top Events | Artur Mirzakhanyan W Top Events | Murad Bakiev W Top Events,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,05:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2017-09-30T16:00:00.000+00:00,Matheus Mattos,W,Top Events,3.0,5:00
Marcus McGhee,Bantamweight,6-1-0,,,69\,Orthodox,5/7/1990 (35),MMA LAB,Luciano Ramos W Top Events | Abe Sellers W Top Events | Rafael do Nascimento L Top Events,Luciano Ramos W Top Events | Abe Sellers W Top Events | Rafael do Nascimento L Top Events | Rodney Mondala W Top Events,Luciano Ramos W Top Events | Abe Sellers W Top Events | Rafael do Nascimento L Top Events | Rodney Mondala W Top Events | Raphael Montini W Top Events,Luciano Ramos W Top Events | Abe Sellers W Top Events | Rafael do Nascimento L Top Events | Rodney Mondala W Top Events | Raphael Montini W Top Events | Ricky Maynez W Top Events,Luciano Ramos W Top Events | Abe Sellers W Top Events | Rafael do Nascimento L Top Events | Rodney Mondala W Top Events | Raphael Montini W Top Events | Ricky Maynez W Top Events | Nick Alwag W Top Events,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,05:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2023-01-07T03:00:00.000+00:00,Luciano Ramos,W,Top Events,3.0,5:00
Amanda Ribas,Women's Strawweight,5-1-0,,,66\,Orthodox,8/26/1993 (31),Ribas Family,Jennifer Gonzalez W Top Events | Polyana Viana L Top Events | Tania Pereda W Top Events,Jennifer Gonzalez W Top Events | Polyana Viana L Top Events | Tania Pereda W Top Events | Aline Sattelmayer W Top Events,Jennifer Gonzalez W Top Events | Polyana Viana L Top Events | Tania Pereda W Top Events | Aline Sattelmayer W Top Events | Iara Sales W Top Events,Jennifer Gonzalez W Top Events | Polyana Viana L Top Events | Tania Pereda W Top Events | Aline Sattelmayer W Top Events | Iara Sales W Top Events | Ariane Carnelossi W Top Events,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,02:59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-05-21T16:00:00.000+00:00,Jennifer Gonzalez,W,Top Events,2.0,2:59
Tabatha Ricci,Women's Strawweight,5-0-0,,,61\,Orthodox,2/21/1995 (30),Paragon BJJ,Shawna Ormsby W Top Events | Vanessa Marie Grimes W Top Events | Kelsey Arnesen W Top Events,Shawna Ormsby W Top Events | Vanessa Marie Grimes W Top Events | Kelsey Arnesen W Top Events | Graziele Ricotta W Top Events,Shawna Ormsby W Top Events | Vanessa Marie Grimes W Top Events | Kelsey Arnesen W Top Events | Graziele Ricotta W Top Events | Danielle Cunha W Top Events,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,02:59,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2021-04-24T01:00:00.000+00:00,Shawna Ormsby,W,Top Events,2.0,2:59
