Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Sig_Str_Defense,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct
AliBagautinov,Featherweight Division,0-0,Active,35.0,"6' 0""",155 lbs,"78""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
KaiAsakura,nan Division,0-0,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,5,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
So YulKim,Middleweight Division,0-0,Active,32.0,"6' 2""",185 lbs,"73""",,,Niagara Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Middleweight Division,0-0,Active,34.0,"6' 0""",185 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Featherweight Division,0-0,Active,28.0,"5' 8""",155 lbs,"71""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Lightweight Division,0-0,Active,44.0,"5' 8""",155 lbs,"69""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,581,1190,48.8,51.2,581.0,,,,,,8,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Light Heavyweight Division,0-0,Active,42.0,"6' 4""",262 lbs,"78""",,,Pete Spratt Muay Thai,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Welterweight Division,0-0,Active,50.0,"6' 1""",170 lbs,"73""",,,Power MMA Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Welterweight Division,0-0,Active,,"5' 10""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,1,0.0,0.0,0.0,,,,,,1,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
ZakOttow,Lightweight Division,0-0,Active,30.0,"5' 8""",155 lbs,"69""",,,Fortis MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,140,348,40.2,59.8,140.0,,,,,,4,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
