Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
Aaron Pico,Featherweight,13-4-0,5' 8\,,71\,,9/26/1996 (28),Jackson-Wink MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abus Magomedov,Middleweight,28-6-1,6' 2\,,78\,Orthodox,9/2/1990 (34),UFD Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fugitt,Welterweight,10-5-0,6' 1\,,77\,Southpaw,1/12/1989 (36),Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Yanez,Bantamweight,17-6-0,5' 7\,,70\,Orthodox,11/29/1993 (31),Metro Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahejiang Ailinuer,Featherweight,0-0-0,,,70\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Featherweight,13-2-0,5' 8\,,68.5\,Orthodox,11/19/1987 (37),TriStar Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailin Perez,Women's Bantamweight,12-2-0,5' 5\,,66\,Switch,10/5/1994 (30),The Goat Shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Iaquinta,Lightweight,14-7-1,5' 10\,,70\,Orthodox,4/30/1987 (38),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Rakic,Light Heavyweight,14-5-0,6' 4\,,78\,Orthodox,2/6/1992 (33),American Top Team Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandre Topuria,Bantamweight,6-1-0,5' 7\,,68\,Orthodox,1/28/1996 (29),Climent Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Costa,Flyweight,14-4-0,5' 4\,,67\,Orthodox,1/28/1996 (29),Brazilian Warriors BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Caceres,Featherweight,21-15-0,5' 10\,,73.5\,Southpaw,6/20/1988 (37),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Morono,Welterweight,24-12-0,5' 11\,,72\,Orthodox,8/16/1990 (34),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Pereira,Light Heavyweight,12-3-0,6' 4\,,79\,Orthodox,7/7/1987 (38),Teixeira MMA & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Perez,Bantamweight,25-9-0,5' 6\,,65.5\,Orthodox,3/21/1992 (33),Team Oyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Reyes,Lightweight,13-5-0,5' 11\,,73\,Orthodox,10/2/1986 (38),Drysdale Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexa Grasso,Women's Flyweight,16-5-1,5' 5\,,66\,Orthodox,8/9/1993 (31),Lobo Gym MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Hernandez,Lightweight,16-8-0,5' 9\,,72\,Orthodox,10/1/1992 (32),Mile High Militia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Volkanovski,Featherweight,27-4-0,5' 6\,,71.5\,Orthodox,9/29/1988 (36),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
