Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
AalonCruz,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 0""",155 lbs,,,"78""",Xtreme Couture,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronBrink,,,0,0,0,0,0.0,0,0,0,5,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronJeffery,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 2""",185 lbs,,,"73""",Niagara Top Team,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronPhillips,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"6' 0""",185 lbs,,,,,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronPico,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"5' 8""",155 lbs,,,"71""",Jackson-Wink MMA,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronRiley,Lightweight,,0,0,0,0,48.8,581,8,581,1190,0,,0,,,,,,,,,,,,,,,,,Active,,,44.0,"5' 8""",155 lbs,,,"69""",Jackson-Wink MMA,,,,,,Lightweight Division,nan-nan,581.0,,120.0,0.0,51.2,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronRosa,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"6' 4""",262 lbs,,,"78""",Pete Spratt Muay Thai,,,,,,Light Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronSimpson,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,50.0,"6' 1""",170 lbs,,,"73""",Power MMA Team,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AaronWilkinson,Welterweight,,0,0,0,0,0.0,0,1,0,1,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",170 lbs,,,,,,,,,,Welterweight Division,nan-nan,0.0,,15.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
Abdul-KareemAl-Selwady,Lightweight,,0,0,0,0,40.2,140,4,140,348,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 8""",155 lbs,,,"69""",Fortis MMA,,,,,,Lightweight Division,nan-nan,140.0,,60.0,0.0,59.8,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
