Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
AalonCruz,Featherweight Division,nan-nan,Active,35.0,"6' 0""",155 lbs,"78""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Switch,9/20/1989 (35),Xtreme Couture,,,,,,,,,,,,,,,,,,
AaronBrink,nan Division,nan-nan,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,5,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Orthodox,,,,,,,,,,,,,,,,,,,,
AaronJeffery,Middleweight Division,nan-nan,Active,32.0,"6' 2""",185 lbs,"73""",,,Niagara Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Orthodox,11/14/1992 (32),Niagara Top Team,,,,,,,,,,,,,,,,,,
AaronPhillips,Middleweight Division,nan-nan,Active,34.0,"6' 0""",185 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,The Alaskan Bull Worm,,3/13/1991 (34),,,,,,,,,,,,,,,,,,,
AaronPico,Featherweight Division,nan-nan,Active,28.0,"5' 8""",155 lbs,"71""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,9/26/1996 (28),Jackson-Wink MMA,,,,,,,,,,,,,,,,,,
AaronRiley,Lightweight Division,nan-nan,Active,44.0,"5' 8""",155 lbs,"69""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,581,1190,48.8,51.2,581.0,,,,,,8,0,0,0,120.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Southpaw,12/9/1980,Jackson-Wink MMA,,,,,,,,,,,,,,,,,,
AaronRosa,Light Heavyweight Division,nan-nan,Active,42.0,"6' 4""",262 lbs,"78""",,,Pete Spratt Muay Thai,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Orthodox,5/28/1983 (42),Pete Spratt Muay Thai,,,,,,,,,,,,,,,,,,
AaronSimpson,Welterweight Division,nan-nan,Active,50.0,"6' 1""",170 lbs,"73""",,,Power MMA Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,A-Train,Orthodox,7/20/1974,Power MMA Team,,,,,,,,,,,,,,,,,,
AaronWilkinson,Welterweight Division,nan-nan,Active,,"5' 10""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,1,0.0,0.0,0.0,,,,,,1,0,0,0,15.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,The Daywalker,,,,,,,,,,,,,,,,,,,,,
Abdul-KareemAl-Selwady,Lightweight Division,nan-nan,Active,30.0,"5' 8""",155 lbs,"69""",,,Fortis MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,140,348,40.2,59.8,140.0,,,,,,4,0,0,0,60.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,Pride of Palestine,Orthodox,4/10/1995 (30),Fortis MMA,,,,,,,,,,,,,,,,,,
Abdul-KerimEdilov,Light Heavyweight Division,nan-nan,Active,33.0,"6' 3""",205 lbs,"78""",,,Akhmat Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,150,210,71.4,28.6,150.0,,,,,,2,0,0,0,30.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,Orthodox,11/25/1991,Akhmat Fight Team,,,,,,,,,,,,,,,,,,
AbdulRazak Alhassan,Middleweight Division,nan-nan,Active,39.0,"5' 10""",185 lbs,"73""",,,Elevation Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,369,697,52.9,47.1,369.0,,,,,,5,0,0,0,75.0,0,0.0,9,135.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbelTrujillo,Lightweight Division,nan-nan,Active,41.0,"5' 8""",155 lbs,"70""",,,Blackzilians,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,356,731,48.7,51.3,356.0,,,,,,14,0,0,0,210.0,0,0.0,3,45.0,0,0,,,,,,,,,,,,,,,,,,Killa,Orthodox,9/18/1983,Blackzilians,,,,,,,,,,,,,,,,,,
