Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
AalonCruz,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 0""",155 lbs,,,"78""",Xtreme Couture,,,,,
AaronBrink,,,0,0,0,0,0.0,0,0,0,5,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AaronJeffery,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 2""",185 lbs,,,"73""",Niagara Top Team,,,,,
AaronPhillips,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"6' 0""",185 lbs,,,,,,,,,
AaronPico,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"5' 8""",155 lbs,,,"71""",Jackson-Wink MMA,,,,,
AaronRiley,Lightweight,,0,0,0,0,48.8,581,8,581,1190,0,,0,,,,,,,,,,,,,,,,,Active,,,44.0,"5' 8""",155 lbs,,,"69""",Jackson-Wink MMA,,,,,
AaronRosa,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"6' 4""",262 lbs,,,"78""",Pete Spratt Muay Thai,,,,,
AaronSimpson,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,50.0,"6' 1""",170 lbs,,,"73""",Power MMA Team,,,,,
AaronWilkinson,Welterweight,,0,0,0,0,0.0,0,1,0,1,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",170 lbs,,,,,,,,,
Abdul-KareemAl-Selwady,Lightweight,,0,0,0,0,40.2,140,4,140,348,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 8""",155 lbs,,,"69""",Fortis MMA,,,,,
