Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Aalon Cruz,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"6' 0""",155 lbs,,,"78""",Xtreme Couture,,,,,
Aaron Brink,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Aaron Jeffery,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32,"6' 2""",185 lbs,,,"73""",Niagara Top Team,,,,,
Aaron Phillips,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"6' 0""",185 lbs,,,,,,,,,
Aaron Pico,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28,"5' 8""",155 lbs,,,"71""",Jackson-Wink MMA,,,,,
Aaron Riley,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,44,"5' 8""",155 lbs,,,"69""",Jackson-Wink MMA,,,,,
Aaron Rosa,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"6' 4""",262 lbs,,,"78""",Pete Spratt Muay Thai,,,,,
Aaron Simpson,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,50,"6' 1""",170 lbs,,,"73""",Power MMA Team,,,,,
Aaron Wilkinson,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",170 lbs,,,,,,,,,
Abdul-Kareem Al-Selwady,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,30,"5' 8""",155 lbs,,,"69""",Fortis MMA,,,,,
Abdul-Kerim Edilov,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 3""",205 lbs,,,"78""",Akhmat Fight Team,,,,,
Abdul Razak Alhassan,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39,"5' 10""",185 lbs,,,"73""",Elevation Fight Team,,,,,
Abel Trujillo,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"5' 8""",155 lbs,,,"70""",Blackzilians,,,,,
Abner Lloveras,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"5' 11""",155 lbs,,,"71""",,,,,,
Abubakar Nurmagomedov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 11""",170 lbs,,,"72""",AKA (American Kickboxing Academy),,,,,
Abus Magomedov,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"6' 2""",185 lbs,,,"78""",UFD Gym,,,,,
Abu Azaitar,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39,"5' 9""",186 lbs,,,"76""",Combat Club Cologne,,,,,
Acacio dos Santos,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 4""",201 lbs,,,"79""",Power Lotus Team,,,,,
Achilles Estremadura,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 10""",156 lbs,,,"68""",Axe Capoeira Vancouver,,,,,
Adam Antolin,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43,"5' 5""",125 lbs,,,"63""",AKA (American Kickboxing Academy),,,,,
Adam Cella,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"6' 2""",170 lbs,,,"78""",Finney's HIT Squad,,,,,
Adam Fugitt,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"6' 1""",171 lbs,,,"77""",Fight Ready,,,,,
Adam Hunter,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"6' 1""",185 lbs,,,"73""",Synergy Fight Team,,,,,
Adam Khaliev,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"5' 10""",170 lbs,,,,,,,,,
Adam Milstead,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"6' 3""",205 lbs,,,"76""",Pittsburgh Fight Club,,,,,
Adam Wieczorek,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 5""",250 lbs,,,"81""",AKS Chorzow,,,,,
Adam Yandiev,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"5' 9""",185 lbs,,,"74""",Fight or Die,,,,,
Adlan Amagov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"6' 2""",170 lbs,,,"76""",Jackson-Wink MMA,,,,,
Adli Edwards,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 10""",145 lbs,,,"72""",,,,,,
Adriano Martins,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43,"5' 10""",155 lbs,,,"72""",Top Life Amazonas,,,,,
Adriano Santos,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Adrian Diaz,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"5' 10""",145 lbs,,,,Team Alpha Male,,,,,
Adrian Serrano,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Adrian Yanez,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,31,"5' 7""",136 lbs,,,"70""",Metro Fight Club,,,,,
Ahejiang Ailinuer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",145 lbs,,,"70""",,,,,,
Ahmad Hassanzada,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28,"6' 1""",155 lbs,,,"75""",Team Alpha Male,,,,,
