Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Aalon Cruz,Featherweight,11-5-0,4,2,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Switch,35,"6' 0""",155 lbs,,,"78""",Xtreme Couture,,,,,
Aaron Brink,,1-7-0,1,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,,,,,,,,,,,
Aaron Jeffery,Middleweight,16-5-0,9,1,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,32,"6' 2""",185 lbs,,,"73""",Niagara Top Team,,,,,
Aaron Phillips,Middleweight,6-5-0,2,3,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,--,34,"6' 0""",185 lbs,,,,,,,,,
Aaron Pico,Featherweight,13-4-0,9,2,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,--,28,"5' 8""",155 lbs,,,"71""",Jackson-Wink MMA,,,,,
Aaron Riley,Lightweight,30-14-1,5,14,0,30,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,44,"5' 8""",155 lbs,,,"69""",Jackson-Wink MMA,,,,,
Aaron Rosa,Light Heavyweight,4-6-0,0,2,0,4,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,42,"6' 4""",262 lbs,,,"78""",Pete Spratt Muay Thai,,,,,
Aaron Simpson,Welterweight,12-5-0,6,1,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,50,"6' 1""",170 lbs,,,"73""",Power MMA Team,,,,,
Aaron Wilkinson,Welterweight,11-7-0,2,7,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,--,,"5' 10""",170 lbs,,,,,,,,,
Abdul-Kareem Al-Selwady,Lightweight,15-4-0,8,2,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,30,"5' 8""",155 lbs,,,"69""",Fortis MMA,,,,,
Abdul-Kerim Edilov,Light Heavyweight,17-4-0,9,7,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,33,"6' 3""",205 lbs,,,"78""",Akhmat Fight Team,,,,,
Abdul Razak Alhassan,Middleweight,12-7-0,12,0,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Ghana,Orthodox,39,"5' 10""",185 lbs,,,"73""",Elevation Fight Team,,,,,
Abel Trujillo,Lightweight,15-8-0,7,2,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,41,"5' 8""",155 lbs,,,"70""",Blackzilians,,,,,
Abner Lloveras,Lightweight,21-12-1,7,6,0,21,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Spain,--,42,"5' 11""",155 lbs,,,"71""",,,,,,
Abubakar Nurmagomedov,Welterweight,17-4-1,6,4,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,35,"5' 11""",170 lbs,,,"72""",AKA (American Kickboxing Academy),,,,,
Abus Magomedov,Middleweight,28-6-1,14,7,0,28,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Germany,Orthodox,34,"6' 2""",185 lbs,,,"78""",UFD Gym,,,,,
Abu Azaitar,Middleweight,14-4-1,7,1,0,14,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Morocco,Orthodox,39,"5' 9""",186 lbs,,,"76""",Combat Club Cologne,,,,,
