Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
BogdanGuskov,"Jul 26, 2025",Nikita Krylov,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
BogdanGuskov,"Jan 18, 2025",Billy Elekana,UFC 311,W,0,0,11,11,0,0,1,0.000,0,0,0,0%
BogdanGuskov,"Apr 27, 2024",Ryan Spann,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
BogdanGuskov,"Feb 10, 2024",Zac Pauga,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
BogdanGuskov,"Sep 2, 2023",Volkan Oezdemir,UFC Fight Night,L,0,0,0,1,0,0,0,0.000,0,0,0,0%
BogdanGuskov,"Mar 18, 2023",Carlos Eduardo,MMA Series 64,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Nov 28, 2022",Alireza Vafaei,MMA Series 61,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Nov 5, 2022",Abdul Elwahab Saeed,MMA Series 59,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Oct 22, 2021",Vadim Litvin,Muradov Professional League 1,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Dec 24, 2020",Vyacheslav Vasilevsky,AMC - Fight Nights Global,L,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Dec 14, 2019",Nurlan Toktobakiev,WEF 91 / Brave CF 32,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"May 8, 2019",Sergey Kalinin,Russian Cagefighting Championship - RCC Intro 4,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Nov 24, 2018",Konstantin Andreitsev,Russian Cagefighting Championship - RCC Intro 2,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Mar 10, 2018",Alikhan Magomedov,GTC 03,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Feb 8, 2018",Taro Blaglo,Legion Fighting Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Jun 30, 2017",Ilya Gunenko,FNG,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Apr 22, 2017",Ivan Lunechka,Alliance Fighting Championships,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Sep 17, 2016",Dmitry Soloviev,Zolotoy Vityaz MMA - Golden Knight,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Aug 5, 2016",Arkadiy Lisin,Tech-Krep FC,L,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Jul 7, 2016",Abdulhalik Magomedov,Tech-Krep FC,W,-,-,-,-,-,-,-,-,-,-,-,-
BogdanGuskov,"Dec 20, 2015",Biksultan Sabyrzhanov,RMMAF - Federation Cup 2015,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Jul 26, 2025",Bogdan Guskov,UFC Fight Night,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"Apr 12, 2025",Dominick Reyes,UFC 314,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"Mar 11, 2023",Ryan Spann,UFC Fight Night,W,1,1,0,1,2,2,2,0.000,2,2,0,100%
NikitaKrylov,"Oct 22, 2022",Volkan Oezdemir,UFC 280,W,3,4,7,11,2,2,0,0.000,7,20,0,35%
NikitaKrylov,"Jul 23, 2022",Alexander Gustafsson,UFC Fight Night,W,0,0,4,5,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"Mar 19, 2022",Paul Craig,UFC Fight Night,L,0,0,0,0,0,0,0,0.000,1,1,0,100%
NikitaKrylov,"Feb 27, 2021",Magomed Ankalaev,UFC Fight Night,L,0,0,2,4,0,0,0,0.000,1,6,0,17%
NikitaKrylov,"Mar 14, 2020",Johnny Walker,UFC Fight Night,W,1,1,1,2,0,0,1,0.000,3,8,0,38%
NikitaKrylov,"Sep 14, 2019",Glover Teixeira,UFC Fight Night,L,2,2,1,1,0,0,1,0.000,2,4,0,50%
NikitaKrylov,"Apr 13, 2019",Ovince Saint Preux,UFC 236,W,2,2,4,6,0,0,0,0.000,1,2,0,50%
NikitaKrylov,"Sep 15, 2018",Jan Blachowicz,UFC Fight Night,L,0,0,0,0,0,0,0,0.000,1,1,0,100%
NikitaKrylov,"May 19, 2018",Fabio Maldonado,FNG,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Oct 13, 2017",Emanuel Newton,FNG,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Aug 26, 2017",Maro Perak,United Donbass Cup 2017,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Jun 2, 2017",Stjepan Bekavac,FNG,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Dec 10, 2016",Misha Cirkunov,UFC 206,L,2,3,2,2,0,0,0,0.000,1,2,0,50%
NikitaKrylov,"Jul 30, 2016",Ed Herman,UFC 201,W,6,6,4,6,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"May 8, 2016",Francimar Barroso,UFC Fight Night,W,14,14,6,8,7,8,1,0.000,0,2,0,0%
NikitaKrylov,"Aug 23, 2015",Marcos Rogerio de Lima,UFC Fight Night,W,1,1,9,10,0,0,0,0.000,0,1,0,0%
NikitaKrylov,"Jan 24, 2015",Stanislav Nedkov,UFC on Fox,W,1,1,1,1,0,0,0,0.000,0,0,0,0%
