EVENT,BOUT,Weight Division,Fighter 1,Fighter 2,Winning Fighter,Losing Fighter,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,Date,Fight Time (min)
UFC Fight Night,Robert Whittaker vs Reinier de Ridder,Unknown,Robert Whittaker,Reinier de Ridder,Reinier de Ridder,Robert Whittaker,,,,5-round,,,"Jul 26, 2025",15
UFC 308,Robert Whittaker vs Khamzat Chimaev,Unknown,Robert Whittaker,Khamzat Chimaev,Khamzat Chimaev,Robert Whittaker,,,,5-round,,,"Oct 26, 2024",15
UFC Fight Night,Robert Whittaker vs Ikram Aliskerov,Unknown,Robert Whittaker,Ikram Aliskerov,Robert Whittaker,Ikram Aliskerov,,,,5-round,,,"Jun 22, 2024",15
UFC 298,Robert Whittaker vs Paulo Costa,Unknown,Robert Whittaker,Paulo Costa,Robert Whittaker,Paulo Costa,,,,5-round,,,"Feb 17, 2024",15
UFC 290,Robert Whittaker vs Dricus Du Plessis,Unknown,Robert Whittaker,Dricus Du Plessis,Dricus Du Plessis,Robert Whittaker,,,,5-round,,,"Jul 8, 2023",15
UFC Fight Night,Robert Whittaker vs Marvin Vettori,Unknown,Robert Whittaker,Marvin Vettori,Robert Whittaker,Marvin Vettori,,,,5-round,,,"Sep 3, 2022",15
UFC 271,Robert Whittaker vs Israel Adesanya,Unknown,Robert Whittaker,Israel Adesanya,Israel Adesanya,Robert Whittaker,,,,5-round,,,"Feb 12, 2022",15
UFC Fight Night,Robert Whittaker vs Kelvin Gastelum,Unknown,Robert Whittaker,Kelvin Gastelum,Robert Whittaker,Kelvin Gastelum,,,,5-round,,,"Apr 17, 2021",15
UFC 254,Robert Whittaker vs Jared Cannonier,Unknown,Robert Whittaker,Jared Cannonier,Robert Whittaker,Jared Cannonier,,,,5-round,,,"Oct 24, 2020",15
UFC Fight Night,Robert Whittaker vs Darren Till,Unknown,Robert Whittaker,Darren Till,Robert Whittaker,Darren Till,,,,5-round,,,"Jul 25, 2020",15
UFC 243,Robert Whittaker vs Israel Adesanya,Unknown,Robert Whittaker,Israel Adesanya,Israel Adesanya,Robert Whittaker,,,,5-round,,,"Oct 5, 2019",15
